Image ID	Task
LC08_L2SP_122035_20230501_20230509_02_T1	Image SR
LC08_L2SP_123035_20230508_20230517_02_T1	Image SR
LC08_L2SP_124035_20230429_20230509_02_T1	Image SR
LC08_L2SP_124036_20230429_20230509_02_T1	Image SR
LC08_L2SP_125035_20230623_20230630_02_T1	Image SR
LC08_L2SP_122037_20230501_20230509_02_T1	LUCC
LC08_L2SP_122036_20230501_20230509_02_T1	LUCC
S2A_MSIL2A_20230427T030521_N0509_R075_T49SGU_20230427T075701.SAFE	Image SR
S2A_MSIL2A_20230427T030521_N0509_R075_T49SGV_20230427T075701.SAFE	Image SR
S2A_MSIL2A_20230427T030521_N0509_R075_T50SKE_20230427T075701.SAFE	Image SR
S2A_MSIL2A_20230427T030521_N0509_R075_T50SLE_20230427T075701.SAFE	Image SR
S2A_MSIL2A_20230609T031521_N0509_R118_T49SFV_20230609T080057.SAFE	Image SR
S2B_MSIL2A_20230429T025529_N0509_R032_T50SLE_20230429T052419.SAFE	Image SR
S2B_MSIL2A_20230429T025529_N0509_R032_T50SME_20230429T052419.SAFE	Image SR
S2A_MSIL2A_20230514T025521_N0509_R032_T50SMD_20230514T092657.SAFE	LUCC
S2A_MSIL2A_20230514T025521_N0509_R032_T50SMC_20230514T092657.SAFE	LUCC
Table 2: The IDs of the data used in the experiments.
